artist,title,venue,sido,sgg,start,end,n,type,conf,source,status
god,2024 god CONCERT <CHAPTER 0>,KSPO DOME(올림픽체조경기장),서울,송파구,2024-09-27,2024-09-29,3,콘서트,A,https://en.wikipedia.org/wiki/List_of_g.o.d_concert_tours,수집
god,2025 god CONCERT <ICONIC BOX> - 서울,KSPO DOME(올림픽체조경기장),서울,송파구,2025-12-05,2025-12-07,3,콘서트,A,https://en.wikipedia.org/wiki/List_of_g.o.d_concert_tours,수집
god,2025 god CONCERT <ICONIC BOX> - 부산,벡스코 제1전시장,부산,해운대구,2025-12-20,2025-12-21,2,콘서트,A,https://en.wikipedia.org/wiki/List_of_g.o.d_concert_tours,수집
god,"god 데뷔 10,000일 기념 팬콘서트 (ONE FAMILY, 10,000 DAYS)",에버랜드,경기,용인시,2026-05-30,2026-05-30,1,콘서트,B,https://www.starnewskorea.com/music/2026/06/01/2026060115403617941,수집
aespa,2024 aespa LIVE TOUR - SYNK : PARALLEL LINE - in SEOUL,잠실실내체육관,서울,송파구,2024-06-29,2024-06-30,2,콘서트,A,https://en.wikipedia.org/wiki/Synk:_Parallel_Line,수집
aespa,2025 aespa LIVE TOUR - SYNK : PARALLEL LINE ENCORE in SEOUL,KSPO DOME,서울,송파구,2025-03-15,2025-03-16,2,콘서트,A,https://en.wikipedia.org/wiki/Synk:_Parallel_Line,수집
aespa,aespa LIVE TOUR - SYNK : AEXIS LINE in SEOUL,KSPO DOME,서울,송파구,2025-08-29,2025-08-31,3,콘서트,A,https://en.wikipedia.org/wiki/Synk:_Aexis_Line,수집
지드래곤 (G-Dragon),G-DRAGON 2025 WORLD TOUR [Ubermensch] IN GOYANG,고양종합운동장,경기,고양시,2025-03-29,2025-03-30,2,콘서트,A,https://en.wikipedia.org/wiki/%C3%9Cbermensch_World_Tour,수집
지드래곤 (G-Dragon),G-DRAGON WORLD TOUR [Ubermensch] FINALE IN SEOUL,고척스카이돔,서울,구로구,2025-12-12,2025-12-14,3,콘서트,A,https://en.wikipedia.org/wiki/%C3%9Cbermensch_World_Tour,수집
CORTIS,CORTIS <COLOR OUTSIDE THE LINES> RELEASE PARTY,고려대학교 화정체육관,서울,성북구,2025-09-08,2025-09-08,1,단독공연,B,https://namu.wiki/w/CORTIS/%EA%B3%B5%EC%97%B0%20%EB%B0%8F%20%ED%96%89%EC%82%AC,수집
CORTIS,CORTIS <REDRED> RELEASE PARTY,예스24 라이브홀,서울,,2026-04-20,2026-04-20,1,단독공연,B,https://namu.wiki/w/CORTIS/%EA%B3%B5%EC%97%B0%20%EB%B0%8F%20%ED%96%89%EC%82%AC,수집
CORTIS,CORTIS <GREENGREEN> RELEASE PARTY,에스팩토리 D동,서울,성동구,2026-05-04,2026-05-04,1,단독공연,B,https://namu.wiki/w/CORTIS/%EA%B3%B5%EC%97%B0%20%EB%B0%8F%20%ED%96%89%EC%82%AC,수집
CORTIS,홍익대학교 대동제,홍익대학교,서울,마포구,2026-05-14,2026-05-14,1,페스티벌출연,B,https://namu.wiki/w/CORTIS/%EA%B3%B5%EC%97%B0%20%EB%B0%8F%20%ED%96%89%EC%82%AC,수집
CORTIS,고려대학교 석탑대동제,고려대학교,서울,성북구,2026-05-19,2026-05-19,1,페스티벌출연,B,https://namu.wiki/w/CORTIS/%EA%B3%B5%EC%97%B0%20%EB%B0%8F%20%ED%96%89%EC%82%AC,수집
CORTIS,2026 Weverse Con Festival,KSPO DOME,서울,송파구,2026-06-07,2026-06-07,1,페스티벌출연,B,https://namu.wiki/w/CORTIS/%EA%B3%B5%EC%97%B0%20%EB%B0%8F%20%ED%96%89%EC%82%AC,수집
CORTIS,2026 CORTIS TOUR <PUT YOUR PHONE DOWN> IN INCHEON,인스파이어 아레나,인천,중구,2026-07-18,2026-07-19,2,콘서트,A,https://m.news.nate.com/view/20260717n02949,수집
CORTIS,2026 CORTIS TOUR <PUT YOUR PHONE DOWN> IN SEOUL,고려대학교 화정체육관,서울,성북구,2026-08-22,2026-08-23,2,콘서트,A,https://fannstar.tf.co.kr/fnnews/read/355492,수집
아이유,2024 IU HEREH WORLD TOUR CONCERT IN SEOUL,KSPO DOME,서울,송파구,2024-03-02,2024-03-10,4,콘서트,A,https://en.wikipedia.org/wiki/IU_HEREH_World_Tour,수집
아이유,2024 IU HEREH WORLD TOUR CONCERT ENCORE : THE WINNING,서울월드컵경기장,서울,마포구,2024-09-21,2024-09-22,2,콘서트,A,https://en.wikipedia.org/wiki/IU_HEREH_World_Tour,수집
아이유,"2025 IU FAN MEET-UP [Bye, Summer]",KSPO DOME,서울,송파구,2025-09-13,2025-09-14,2,팬미팅,A,https://www.koreajoongangdaily.com/entertainment/iu-to-host-fan-meet-and-greet-bye-summer-on-sept-13-and-14/10077954,수집
EXO,2024 EXO FAN MEETING : ONE,인스파이어 아레나,인천,중구,2024-04-14,2024-04-14,1,팬미팅,A,https://edaily.co.kr/News/Read?mediaCodeNo=258&newsId=01403846638794456,수집
EXO,2025 EXO FAN MEETING [EXO'verse],인스파이어 아레나,인천,중구,2025-12-13,2025-12-14,2,팬미팅,A,https://www.starnewskorea.com/music/2025/10/27/2025102714100144034,수집
EXO,EXO PLANET #6 - EXhOrizon - in SEOUL,KSPO DOME,서울,송파구,2026-04-10,2026-04-12,3,콘서트,A,https://en.wikipedia.org/wiki/Exo_Planet_6_%E2%80%93_Exhorizon,수집
NewJeans,2024 Korea On Stage,경복궁 근정전,서울,종로구,2024-05-21,2024-05-21,1,페스티벌출연,B,https://en.wikipedia.org/wiki/List_of_NewJeans_live_performances,수집
NewJeans,K-Wave Concert (SBS 인기가요),인스파이어 아레나,인천,중구,2024-06-02,2024-06-02,1,페스티벌출연,B,https://en.wikipedia.org/wiki/List_of_NewJeans_live_performances,수집
싸이,싸이 흠뻑쇼 SUMMER SWAG 2024 - 원주,원주종합운동장,강원,원주시,2024-06-29,2024-06-29,1,콘서트,A,https://namu.wiki/w/%EC%8B%B8%EC%9D%B4%20%ED%9D%A0%EB%BB%91%EC%87%BC%202024,수집
싸이,싸이 흠뻑쇼 SUMMER SWAG 2024 - 광주,광주월드컵경기장,광주,서구,2024-07-06,2024-07-07,2,콘서트,A,https://namu.wiki/w/%EC%8B%B8%EC%9D%B4%20%ED%9D%A0%EB%BB%91%EC%87%BC%202024,수집
싸이,싸이 흠뻑쇼 SUMMER SWAG 2024 - 대구,대구스타디움,대구,수성구,2024-07-13,2024-07-14,2,콘서트,A,https://namu.wiki/w/%EC%8B%B8%EC%9D%B4%20%ED%9D%A0%EB%BB%91%EC%87%BC%202024,수집
싸이,싸이 흠뻑쇼 SUMMER SWAG 2024 - 과천,서울대공원 주차광장,경기,과천시,2024-07-20,2024-07-21,2,콘서트,A,https://namu.wiki/w/%EC%8B%B8%EC%9D%B4%20%ED%9D%A0%EB%BB%91%EC%87%BC%202024,수집
싸이,싸이 흠뻑쇼 SUMMER SWAG 2024 - 대전,목원대학교 대운동장,대전,서구,2024-07-27,2024-07-28,2,콘서트,A,https://namu.wiki/w/%EC%8B%B8%EC%9D%B4%20%ED%9D%A0%EB%BB%91%EC%87%BC%202024,수집
싸이,싸이 흠뻑쇼 SUMMER SWAG 2024 - 속초,속초종합운동장,강원,속초시,2024-08-03,2024-08-03,1,콘서트,A,https://namu.wiki/w/%EC%8B%B8%EC%9D%B4%20%ED%9D%A0%EB%BB%91%EC%87%BC%202024,수집
싸이,싸이 흠뻑쇼 SUMMER SWAG 2024 - 부산,부산아시아드주경기장,부산,연제구,2024-08-10,2024-08-11,2,콘서트,A,https://namu.wiki/w/%EC%8B%B8%EC%9D%B4%20%ED%9D%A0%EB%BB%91%EC%87%BC%202024,수집
싸이,싸이 흠뻑쇼 SUMMER SWAG 2024 - 인천,인천아시아드주경기장,인천,서구,2024-08-17,2024-08-18,2,콘서트,A,https://namu.wiki/w/%EC%8B%B8%EC%9D%B4%20%ED%9D%A0%EB%BB%91%EC%87%BC%202024,수집
싸이,싸이 흠뻑쇼 SUMMER SWAG 2024 - 수원,수원월드컵경기장,경기,수원시,2024-08-24,2024-08-25,2,콘서트,A,https://namu.wiki/w/%EC%8B%B8%EC%9D%B4%20%ED%9D%A0%EB%BB%91%EC%87%BC%202024,수집
싸이,싸이 흠뻑쇼 SUMMER SWAG 2024 - 과천 (추가공연),서울대공원 주차광장,경기,과천시,2024-08-31,2024-08-31,1,콘서트,A,https://namu.wiki/w/%EC%8B%B8%EC%9D%B4%20%ED%9D%A0%EB%BB%91%EC%87%BC%202024,수집
싸이,싸이 흠뻑쇼 SUMMER SWAG 2025 - 인천,인천아시아드주경기장,인천,서구,2025-06-28,2025-06-29,2,콘서트,A,https://namu.wiki/w/%EC%8B%B8%EC%9D%B4%20%ED%9D%A0%EB%BB%91%EC%87%BC%202025,수집
싸이,싸이 흠뻑쇼 SUMMER SWAG 2025 - 의정부,의정부종합운동장,경기,의정부시,2025-07-05,2025-07-05,1,콘서트,A,https://namu.wiki/w/%EC%8B%B8%EC%9D%B4%20%ED%9D%A0%EB%BB%91%EC%87%BC%202025,수집
싸이,싸이 흠뻑쇼 SUMMER SWAG 2025 - 대전,목원대학교 대운동장,대전,서구,2025-07-12,2025-07-13,2,콘서트,A,https://namu.wiki/w/%EC%8B%B8%EC%9D%B4%20%ED%9D%A0%EB%BB%91%EC%87%BC%202025,수집
싸이,싸이 흠뻑쇼 SUMMER SWAG 2025 - 과천,서울대공원 주차광장,경기,과천시,2025-07-18,2025-07-20,3,콘서트,A,https://namu.wiki/w/%EC%8B%B8%EC%9D%B4%20%ED%9D%A0%EB%BB%91%EC%87%BC%202025,수집
싸이,싸이 흠뻑쇼 SUMMER SWAG 2025 - 속초,속초종합운동장,강원,속초시,2025-07-26,2025-07-26,1,콘서트,A,https://namu.wiki/w/%EC%8B%B8%EC%9D%B4%20%ED%9D%A0%EB%BB%91%EC%87%BC%202025,수집
싸이,싸이 흠뻑쇼 SUMMER SWAG 2025 - 수원,수원월드컵경기장 보조경기장,경기,수원시,2025-08-02,2025-08-03,2,콘서트,A,https://namu.wiki/w/%EC%8B%B8%EC%9D%B4%20%ED%9D%A0%EB%BB%91%EC%87%BC%202025,수집
싸이,싸이 흠뻑쇼 SUMMER SWAG 2025 - 대구,대구스타디움,대구,수성구,2025-08-09,2025-08-09,1,콘서트,A,https://namu.wiki/w/%EC%8B%B8%EC%9D%B4%20%ED%9D%A0%EB%BB%91%EC%87%BC%202025,수집
싸이,싸이 흠뻑쇼 SUMMER SWAG 2025 - 부산,부산아시아드보조경기장,부산,연제구,2025-08-15,2025-08-16,2,콘서트,A,https://namu.wiki/w/%EC%8B%B8%EC%9D%B4%20%ED%9D%A0%EB%BB%91%EC%87%BC%202025,수집
싸이,싸이 흠뻑쇼 SUMMER SWAG 2025 - 광주,조선대학교 운동장,광주,동구,2025-08-23,2025-08-24,2,콘서트,A,https://namu.wiki/w/%EC%8B%B8%EC%9D%B4%20%ED%9D%A0%EB%BB%91%EC%87%BC%202025,수집
싸이,싸이 흠뻑쇼 SUMMER SWAG 2026 - 의정부,의정부종합운동장,경기,의정부시,2026-06-27,2026-06-27,1,콘서트,A,https://namu.wiki/w/%EC%8B%B8%EC%9D%B4%20%ED%9D%A0%EB%BB%91%EC%87%BC%202026,수집
싸이,싸이 흠뻑쇼 SUMMER SWAG 2026 - 대구,대구스타디움 보조경기장,대구,수성구,2026-07-04,2026-07-05,2,콘서트,A,https://namu.wiki/w/%EC%8B%B8%EC%9D%B4%20%ED%9D%A0%EB%BB%91%EC%87%BC%202026,수집
싸이,싸이 흠뻑쇼 SUMMER SWAG 2026 - 인천,인천아시아드주경기장,인천,서구,2026-07-11,2026-07-11,1,콘서트,A,https://namu.wiki/w/%EC%8B%B8%EC%9D%B4%20%ED%9D%A0%EB%BB%91%EC%87%BC%202026,수집
싸이,싸이 흠뻑쇼 SUMMER SWAG 2026 - 과천,서울대공원 주차광장,경기,과천시,2026-07-17,2026-07-18,2,콘서트,A,https://namu.wiki/w/%EC%8B%B8%EC%9D%B4%20%ED%9D%A0%EB%BB%91%EC%87%BC%202026,수집
싸이,싸이 흠뻑쇼 SUMMER SWAG 2026 - 원주,원주종합운동장,강원,원주시,2026-07-25,2026-07-25,1,콘서트,A,https://namu.wiki/w/%EC%8B%B8%EC%9D%B4%20%ED%9D%A0%EB%BB%91%EC%87%BC%202026,수집
싸이,싸이 흠뻑쇼 SUMMER SWAG 2026 - 수원,수원월드컵경기장 보조경기장,경기,수원시,2026-08-01,2026-08-02,2,콘서트,A,https://namu.wiki/w/%EC%8B%B8%EC%9D%B4%20%ED%9D%A0%EB%BB%91%EC%87%BC%202026,수집
싸이,싸이 흠뻑쇼 SUMMER SWAG 2026 - 광주,조선대학교 운동장,광주,동구,2026-08-08,2026-08-08,1,콘서트,A,https://namu.wiki/w/%EC%8B%B8%EC%9D%B4%20%ED%9D%A0%EB%BB%91%EC%87%BC%202026,수집
싸이,싸이 흠뻑쇼 SUMMER SWAG 2026 - 부산,부산아시아드주경기장,부산,연제구,2026-08-15,2026-08-16,2,콘서트,A,https://namu.wiki/w/%EC%8B%B8%EC%9D%B4%20%ED%9D%A0%EB%BB%91%EC%87%BC%202026,수집
싸이,싸이 흠뻑쇼 SUMMER SWAG 2026 - 대전,목원대학교 대운동장,대전,서구,2026-08-22,2026-08-23,2,콘서트,A,https://namu.wiki/w/%EC%8B%B8%EC%9D%B4%20%ED%9D%A0%EB%BB%91%EC%87%BC%202026,수집
ATEEZ,2024 ATEEZ WORLD TOUR [TOWARDS THE LIGHT : WILL TO POWER] IN SEOUL,잠실실내체육관,서울,송파구,2024-01-27,2024-01-28,2,콘서트,A,https://en.wikipedia.org/wiki/List_of_Ateez_concert_tours,수집
ATEEZ,2024 ATEEZ FANMEETING [ATINY'S VOYAGE : FROM A TO Z],잠실실내체육관,서울,송파구,2024-07-06,2024-07-07,2,팬미팅,B,https://namu.wiki/w/ATEEZ/%EA%B3%B5%EC%97%B0%20%EB%B0%8F%20%ED%96%89%EC%82%AC,수집
ATEEZ,2025 ATEEZ WORLD TOUR [TOWARDS THE LIGHT : WILL TO POWER] FINALE IN SEOUL,KSPO DOME,서울,송파구,2025-03-22,2025-03-23,2,콘서트,A,https://m.ticket.yes24.com/Perf/52326,수집
ATEEZ,ATEEZ 2025 WORLD TOUR [IN YOUR FANTASY] IN INCHEON,인스파이어 아레나,인천,중구,2025-07-05,2025-07-06,2,콘서트,A,https://m.ticket.yes24.com/Perf/53911,수집
ATEEZ,2026 ATEEZ FANMEETING <DAWN:26>,이화여자대학교 대강당,서울,서대문구,2026-01-17,2026-01-17,1,팬미팅,B,https://namu.wiki/w/ATEEZ/%EA%B3%B5%EC%97%B0%20%EB%B0%8F%20%ED%96%89%EC%82%AC,수집
ATEEZ,2026 ATEEZ FANMEETING [ATINY'S VOYAGE : TINY MYSTERY] IN SEOUL,고려대학교 화정체육관,서울,성북구,2026-07-17,2026-07-19,3,팬미팅,B,https://namu.wiki/w/ATEEZ/%EA%B3%B5%EC%97%B0%20%EB%B0%8F%20%ED%96%89%EC%82%AC,수집
RIIZE,2024 RIIZE FAN-CON TOUR [RIIZING DAY] IN SEOUL,잠실실내체육관,서울,송파구,2024-05-04,2024-05-05,2,팬미팅,A,https://en.wikipedia.org/wiki/Riizing_Day,수집
RIIZE,경희대학교 축제,경희대학교 서울캠퍼스,서울,동대문구,2024-05-24,2024-05-24,1,페스티벌출연,B,https://namu.wiki/w/RIIZE/%EA%B3%B5%EC%97%B0%20%EB%B0%8F%20%ED%96%89%EC%82%AC,수집
RIIZE,연세대학교 축제,연세대학교,서울,서대문구,2024-05-26,2024-05-26,1,페스티벌출연,B,https://namu.wiki/w/RIIZE/%EA%B3%B5%EC%97%B0%20%EB%B0%8F%20%ED%96%89%EC%82%AC,수집
RIIZE,2024 RIIZE FAN-CON TOUR [RIIZING DAY] FINALE IN SEOUL,KSPO DOME,서울,송파구,2024-09-13,2024-09-15,3,팬미팅,A,https://en.wikipedia.org/wiki/Riizing_Day,수집
RIIZE,우리모두콘서트,난지한강공원,서울,마포구,2024-09-28,2024-09-28,1,페스티벌출연,B,https://namu.wiki/w/RIIZE/%EA%B3%B5%EC%97%B0%20%EB%B0%8F%20%ED%96%89%EC%82%AC,수집
RIIZE,부산국제록페스티벌,,부산,,2024-10-06,2024-10-06,1,페스티벌출연,C,https://namu.wiki/w/RIIZE/%EA%B3%B5%EC%97%B0%20%EB%B0%8F%20%ED%96%89%EC%82%AC,수집
RIIZE,연세대학교 축제,연세대학교,서울,서대문구,2025-06-08,2025-06-08,1,페스티벌출연,B,https://namu.wiki/w/RIIZE/%EA%B3%B5%EC%97%B0%20%EB%B0%8F%20%ED%96%89%EC%82%AC,수집
RIIZE,2025 RIIZE CONCERT TOUR [RIIZING LOUD] IN SEOUL,KSPO DOME,서울,송파구,2025-07-04,2025-07-06,3,콘서트,A,https://en.wikipedia.org/wiki/Riizing_Loud,수집
RIIZE,광주대학교 축제,광주대학교,광주,,2025-09-25,2025-09-25,1,페스티벌출연,B,https://namu.wiki/w/RIIZE/%EA%B3%B5%EC%97%B0%20%EB%B0%8F%20%ED%96%89%EC%82%AC,수집
RIIZE,2026 RIIZE CONCERT TOUR [RIIZING LOUD] FINALE IN SEOUL,KSPO DOME,서울,송파구,2026-03-06,2026-03-08,3,콘서트,A,https://www.starnewskorea.com/music/2025/12/31/2025123108464877872,수집
RIIZE,인천대학교 축제,인천대학교,인천,연수구,2026-05-08,2026-05-08,1,페스티벌출연,B,https://namu.wiki/w/RIIZE/%EA%B3%B5%EC%97%B0%20%EB%B0%8F%20%ED%96%89%EC%82%AC,수집
RIIZE,서강대학교 축제,서강대학교,서울,마포구,2026-05-14,2026-05-14,1,페스티벌출연,B,https://namu.wiki/w/RIIZE/%EA%B3%B5%EC%97%B0%20%EB%B0%8F%20%ED%96%89%EC%82%AC,수집
RIIZE,성신여자대학교 축제,성신여자대학교,서울,성북구,2026-05-14,2026-05-14,1,페스티벌출연,B,https://namu.wiki/w/RIIZE/%EA%B3%B5%EC%97%B0%20%EB%B0%8F%20%ED%96%89%EC%82%AC,수집
RIIZE,RAPBEAT FESTIVAL 2026,,서울,,2026-06-20,2026-06-20,1,페스티벌출연,C,https://namu.wiki/w/RIIZE/%EA%B3%B5%EC%97%B0%20%EB%B0%8F%20%ED%96%89%EC%82%AC,수집
RIIZE,WATERBOMB SEOUL 2026,,서울,,2026-07-26,2026-07-26,1,페스티벌출연,C,https://namu.wiki/w/RIIZE/%EA%B3%B5%EC%97%B0%20%EB%B0%8F%20%ED%96%89%EC%82%AC,수집
RIIZE,2026 RIIZE 3RD ANNIVERSARY FANMEETING [Ch. RIIZE : ON AIR],,서울,,2026-09-12,2026-09-13,2,팬미팅,C,https://namu.wiki/w/RIIZE/%EA%B3%B5%EC%97%B0%20%EB%B0%8F%20%ED%96%89%EC%82%AC,수집
워너원,워너원 오프닝 세레모니 팬미팅,상암 DMC 문화공원,서울,마포구,2026-04-06,2026-04-06,1,팬미팅,A,https://v.daum.net/v/20260401121726260,수집
HOT,HANTEO MUSIC FESTIVAL IN KOREA,인스파이어 아레나,인천,중구,2025-11-22,2025-11-23,2,페스티벌출연,A,https://edaily.co.kr/News/Read?mediaCodeNo=258&newsId=01666246642297496,수집
